iso3,country_name_ghg,year,ghg_per_capita,region,gdp_per_capita_ppp,renewable_pct,electricity_access_pct,fossil_fuel_pct,population,ghg_total_mt
BGR,Bulgaria,2017,8.421081,Europe & Central Asia,22317.2548948063,17.1,98.1,0.0,6803468.0,0.057292555108907996
CIV,Côte d’Ivoire,2017,1.741144,Sub-Saharan Africa,4690.17801861096,62.5,65.6,0.0,26733372.0,0.046546650257568004
HRV,Croatia,2017,6.318025,Europe & Central Asia,27887.7588440919,29.8,100.0,0.0,4041407.0,0.025533710461175
CUB,Cuba,2017,4.84334,Latin America & Caribbean,,22.0,99.4,0.0,11247829.0,0.054477060108860005
CYP,Cyprus,2017,7.117575,Europe & Central Asia,37768.1171875,10.9,100.0,0.0,1254275.0,0.008927396383125
EGY,Egypt,2017,3.436196,Middle East & North Africa,11124.7351098149,4.9,100.0,0.0,103696057.0,0.356319976279172
GEO,Georgia,2017,4.690071,Europe & Central Asia,13718.9378669764,27.5,100.0,0.0,3728004.0,0.017484603448284
GHA,Ghana,2017,1.265825,Sub-Saharan Africa,5170.96094857439,45.3,79.0,0.0,30008354.0,0.03798532470205
GTM,Guatemala,2017,1.852833,Latin America & Caribbean,9560.17783462724,65.0,93.3,0.0,16567357.0,0.030696545772381
GNB,Guinea-Bissau,2017,0.7177915,Sub-Saharan Africa,2081.81287227685,86.8,26.0,,1877072.0,0.0013473463264880002
GUY,Guyana,2017,6.172941,Latin America & Caribbean,12243.2225968541,22.1,90.0,,768479.0,0.004743775526738999
VAT,Holy See,2017,30.69888,Europe & Central Asia,,,,,,
IDN,Indonesia,2017,3.26231,East Asia & Pacific,10687.6409218443,25.2,98.1,0.0,267346658.0,0.87216767585998
KAZ,Kazakhstan,2017,20.84414,Europe & Central Asia,23973.0602295651,2.0,100.0,0.0,18651931.0,0.38878346103433997
KEN,Kenya,2017,1.201175,Sub-Saharan Africa,4177.24993580267,68.1,55.8,0.0,49197766.0,0.059095126575050005
LIE,Liechtenstein,2017,5.090501,Europe & Central Asia,,55.3,100.0,,37962.0,0.000193245598962
MYS,Malaysia,2017,9.808034,East Asia & Pacific,26415.5960203287,5.2,100.0,0.0,32355644.0,0.317345256443896
MDV,Maldives,2017,3.957199,South Asia,19767.8893613468,1.3,99.8,,458287.0,0.0018135328581130002
MLT,Malta,2017,4.311118,Europe & Central Asia,45763.7330585065,7.3,100.0,0.0,467106.0,0.0020137490845079996
MUS,Mauritius,2017,4.435731,Sub-Saharan Africa,22897.9700922102,9.4,99.6,0.0,1264887.0,0.0056106984773969994
MDA,Moldova,2017,4.155583,Europe & Central Asia,11252.1135465283,26.1,100.0,0.0,2755189.0,0.011449416570187
MCO,Monaco,2017,2.212514,Europe & Central Asia,,,100.0,,37678.0,8.3363102492e-05
NAM,Namibia,2017,4.37755,Sub-Saharan Africa,9887.9393548255,30.2,52.5,0.0,2506853.0,0.01097387435015
NPL,Nepal,2017,1.670359,South Asia,3604.70825949747,76.8,86.6,0.0,28011258.0,0.046788856901621996
NGA,Nigeria,2017,1.497191,Sub-Saharan Africa,7036.67414372387,81.6,54.4,0.0,200254579.0,0.29981935338758897
PAN,Panama,2017,4.376703,Latin America & Caribbean,33533.32602165,23.6,93.7,0.0,4098707.0,0.017938823223021
PER,Peru,2017,3.230646,Latin America & Caribbean,12591.8562879234,27.6,94.8,0.0,31324637.0,0.101198813225502
ROU,Romania,2017,5.98312,Europe & Central Asia,26943.3085419885,23.4,100.0,0.0,19588715.0,0.11720163249080001
RUS,Russia,2017,13.67797,Europe & Central Asia,25777.904296875,3.2,100.0,0.0,145293260.0,1.9873168514822002
RWA,Rwanda,2017,0.7771127,Sub-Saharan Africa,1967.94286602499,84.5,34.1,0.0,12202060.0,0.009482375792161999
SRB,Serbia,2017,9.189626,Europe & Central Asia,17285.4272257972,20.0,100.0,0.0,7020858.0,0.064519059219108
SGP,Singapore,2017,10.00177,East Asia & Pacific,95744.1821600957,0.7,100.0,0.0,5612253.0,0.056132463687810004
SLB,Solomon Islands,2017,0.8774037,East Asia & Pacific,2454.04671914243,49.0,62.9,,685672.0,0.0006016111497864
ZAF,South Africa,2017,8.678108,Sub-Saharan Africa,13738.4385854596,7.9,84.4,0.0,57635162.0,0.500164160433496
UKR,Ukraine,2017,7.236908,Europe & Central Asia,11536.0810546875,6.5,100.0,0.0,45436041.0,0.328816448601228
UZB,Uzbekistan,2017,5.397403,Europe & Central Asia,7818.01112977426,1.7,100.0,0.0,31819178.0,0.171740926794734
VEN,Venezuela,2017,7.086742,Latin America & Caribbean,,14.3,99.2,0.0,30565323.0,0.216608558247666
AUS,Australia,2015,22.76201,East Asia & Pacific,46464.5867627929,9.4,100.0,92.4085902645688,23815995.0,0.5420999163499499
AUT,Austria,2015,9.180776,Europe & Central Asia,49549.3162311441,34.8,100.0,65.7446718554832,8642699.0,0.07934668355442401
BEL,Belgium,2015,10.52475,Europe & Central Asia,46071.914889496,9.4,100.0,76.2959532196333,11274196.0,0.118658094351
CAN,Canada,2015,20.63403,North America,44668.0912814303,22.3,100.0,73.5167429679308,35704498.0,0.73672768286694
CHL,Chile,2015,5.585496,Latin America & Caribbean,22468.3125745547,25.1,99.7,75.7299683205292,18047625.0,0.10080493724699999
COL,Colombia,2015,3.604959,Latin America & Caribbean,13332.0555048211,31.1,98.2,27.2897009910218,46969940.0,0.16932470793246002
CRI,Costa Rica,2015,2.995665,Latin America & Caribbean,17525.1404625145,38.3,99.4,47.2809930395726,4818038.0,0.01443322780527
CZE,Czechia,2015,11.94751,Europe & Central Asia,34093.0280593748,14.8,100.0,75.349458412504,10546059.0,0.12599914536308998
