"Country Name","Country Code","Year","average_value_Access to electricity (% of population)","average_value_Access to electricity, rural (% of rural population)","average_value_Access to electricity, urban (% of urban population)","average_value_Adjusted savings: energy depletion (% of GNI)","average_value_Adjusted savings: energy depletion (current US$)","average_value_Adjusted savings: mineral depletion (% of GNI)","average_value_Adjusted savings: mineral depletion (current US$)","average_value_Adjusted savings: natural resources depletion (% of GNI)","average_value_Alternative and nuclear energy (% of total energy use)","average_value_CO2 emissions from gaseous fuel consumption (% of total)","average_value_CO2 emissions from liquid fuel consumption (kt)","average_value_Combustible renewables and waste (% of total energy)","average_value_Electric power consumption (kWh per capita)","average_value_Electric power transmission and distribution losses (% of output)","average_value_Electricity production from coal sources (% of total)","average_value_Electricity production from hydroelectric sources (% of total)","average_value_Electricity production from natural gas sources (% of total)","average_value_Electricity production from nuclear sources (% of total)","average_value_Electricity production from oil sources (% of total)","average_value_Electricity production from oil, gas and coal sources (% of total)","average_value_Electricity production from renewable sources, excluding hydroelectric (% of total)","average_value_Electricity production from renewable sources, excluding hydroelectric (kWh)","average_value_Energy imports, net (% of energy use)","average_value_Energy intensity level of primary energy (MJ/$2011 PPP GDP)","average_value_Energy related methane emissions (% of total)","average_value_Energy use (kg of oil equivalent per capita)","average_value_Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)","average_value_Firms using banks to finance investment (% of firms)","average_value_Fossil fuel energy consumption (% of total)","average_value_Fuel exports (% of merchandise exports)","average_value_Fuel imports (% of merchandise imports)","average_value_GDP per unit of energy use (PPP $ per kg of oil equivalent)","average_value_GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent)","average_value_Investment in energy with private participation (current US$)","average_value_Methane emissions in energy sector (thousand metric tons of CO2 equivalent)","average_value_Mineral rents (% of GDP)","average_value_Natural gas rents (% of GDP)","average_value_Nitrous oxide emissions in energy sector (% of total)","average_value_Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","average_value_Oil rents (% of GDP)","average_value_Ores and metals exports (% of merchandise exports)","average_value_Ores and metals imports (% of merchandise imports)","average_value_Pump price for diesel fuel (US$ per liter)","average_value_Pump price for gasoline (US$ per liter)","average_value_Renewable electricity output (% of total electricity output)","average_value_Renewable energy consumption (% of total final energy consumption)","average_value_Time required to get electricity (days)","average_value_Time to obtain an electrical connection (days)","average_value_Total natural resources rents (% of GDP)","average_value_Value lost due to electrical outages (% of sales for affected firms)"
"Gibraltar","GIB","1996","100","100","100","","0","","0","","0","","282.359","0","3693.47600966517","2.72727272727273","0","0","0","0","100","100","0","0","100","","","3688.12564722126","","","100","","","","","","","","","","","","","","","","0","0","","","",""
"Gambia, The","GMB","1995","19.921443939209","3.01920422809117","41.9985618591309","0","0","0","0","0.554873839466209","","0","216.353","","","","","","","","","","","","","4.73900597461536","3.58208955223881","","","","","0.169161581477016","14.1431945101949","","","","120","0","0","6.45161290322581","20","0","1.03893300568354","0.347644193295217","","","0","59.5776946715124","","","3.0369799070949",""
"Gambia, The","GMB","2003","27.8","1.08203785952045","53.9313049316406","0","0","0","0","1.97865544476592","","1.22233333333333","297.027","","","","","","","","","","","","","4.69217288154537","18.4782608695652","","","","","0","10.4999558507291","","","","170","0","0","9.09090909090909","30","0","0.818503619213777","0.898634892407772","","","0","61.9206008911133","","","6.12286065707953",""
"Equatorial Guinea","GNQ","1986","","","","0","0","0","0","0","","0","80.674","","","","","","","","","","","","","","61.4643593383622","","","","","","","","","","63.3021436825792","0","0","45.6498005296348","7.427948378","0","","","","","","","","","19.5158531299597",""
"Guyana","GUY","1961","","","","","","","","","","0","737.067","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Haiti","HTI","2001","31.542382","13.1856898239631","62.46408","0","0","0","0","0.345327176115213","0.580497722686232","0","1466.8","60.9643833482233","35.196502187875","48.989898989899","0","47.6430976430976","0","0","52.3569023569024","52.3569023569024","0","0","24.8889094454358","5.8434743764434","4.60048426150121","238.5875632056","90.7000835373588","","24.8889094454358","","","8.79505985426744","11.0253481694767","","190","0","0","7.58620689655172","110","0","","","","","47.6430976430976","80.88330078125","","","0.381310972801616",""
"Haiti","HTI","2010","37.0731506347656","6.57124789273947","70.7736206054688","0","0","0","0","0.618244742023537","0.15573157687209","0","1976.513","60.4307094845799","24.5242940269876","58.4327086882453","0","30.1533219761499","0","0","69.8466780238501","69.8466780238501","0","0","17.7746088380231","10.5830589016329","","381.591280930009","139.507025360103","","17.7746088380231","","","6.88767760954834","7.16809778875826","","210","0","0","","150","0","","","","","30.1533219761499","78.9946975708008","66","","0.677029404493689",""
"IBRD only","IBD","1977","","","","2.92251202107278","","0.253565866242386","","3.44392007218985","1.9490842654296","11.4491896790535","2895053.5600278","28.7014450984975","359.404788267932","10.1486025847979","23.792138136642","17.5300127884794","3.60642046727527","0.572205625806467","11.9621534717507","39.360712075668","0.226825512037241","3882000000","-43.6347006117896","","29.8812246962626","604.905666744121","","","69.3066788869924","","","","","","1013160.71936657","0.624878367321182","0.053767549019385","6.47597533458707","73334.1332839201","6.4298603018416","","","","","","","","","9.15607358269308",""
"IDA only","IDX","2012","42.1361650213818","31.1724167937645","74.6677373777362","1.34394812488275","","1.19297617189018","","4.39193827358306","2.848355638805","21.7348596020421","195844.17676193","49.7353301925961","271.383994886861","17.0903186387338","2.96634183439674","38.2367359480965","25.0527658949421","0","13.8542426243802","41.8733503537191","0.933924544255285","2724000000","1.51659630292574","","","375.977463796295","142.665391556705","","28.8790538535705","16.6995485917377","19.1872493217754","6.65689927591339","7.00940844228875","","214220","1.86111925116922","0.537574903979315","","47670","2.06451649153974","9.6842111485289","2.08178207123337","1.22","1.31","50.2666951618968","70.563430633556","127.910714285714","","8.86729161451219",""
"IDA only","IDX","2013","42.7275013899275","31.2789185599799","74.415389915585","1.2067602653595","","1.02408877965783","","3.98519065423029","2.95703309128977","21.9073754695411","203142.579724513","50.230443736514","273.003520801639","17.2219694776459","3.21333621910125","39.1238669408183","25.5190842869672","0","11.7727509386716","40.5051714447401","1.17507394670475","3470000000","1.32115608635272","","","381.260419410686","139.049831463123","","32.435526698801","","16.0497357961356","6.98792204316857","7.19166639382234","","227140","1.56252425215568","0.482688144004439","","51010","1.96815073213614","","2.08420137497356","","","51.9448346718495","70.8045296814109","134.325614035088","","8.06565976065993",""
