iso3,country_name_ghg,year,ghg_per_capita,region,gdp_per_capita_ppp,renewable_pct,electricity_access_pct,fossil_fuel_pct,log_gdp,energy_poverty_flag,green_by_choice_flag
LVA,Latvia,2015,5.437304,Europe & Central Asia,24961.3546830558,38.1002006530762,100.0,,4.397268151339347,0,1
LTU,Lithuania,2015,6.762146,Europe & Central Asia,28834.4276801135,28.9622993469238,100.0,,4.459911335742224,0,1
LUX,Luxembourg,2015,18.14989,Europe & Central Asia,103722.990846127,9.08520030975342,100.0,80.562295207665,5.015875031132814,0,0
MEX,Mexico,2015,6.157423,North America,18301.5004690469,9.19330024719238,99.0,90.4262079109407,4.262486697310411,0,0
NLD,Netherlands,2015,11.35148,Europe & Central Asia,50288.5913949377,5.71049976348877,100.0,93.4610046096056,4.701469471016168,0,0
NZL,New Zealand,2015,18.05449,East Asia & Pacific,37479.6829800129,31.1613998413086,100.0,59.7491685361223,4.573795908773549,0,0
NOR,Norway,2015,10.4499,Europe & Central Asia,60368.9208717485,58.13330078125,100.0,56.9516286499811,4.7808134126659025,0,0
POL,Poland,2015,9.996041,Europe & Central Asia,26862.052515029,11.8677997589111,100.0,90.2913754356553,4.4291391938090445,0,0
PRT,Portugal,2015,6.502329,Europe & Central Asia,29660.8960672526,27.2049999237061,100.0,77.024122555839,4.472184267096439,0,1
SVK,Slovak Republic,2015,7.453356,Europe & Central Asia,29919.6596714916,13.4084997177124,100.0,64.0914950988802,4.475956649231399,0,0
SVN,Slovenia,2015,8.179931,Europe & Central Asia,31628.247175832,20.8129005432129,100.0,61.114199486892,4.500075124164937,0,0
ESP,Spain,2015,7.110942,Europe & Central Asia,34903.1274779473,16.2985000610352,100.0,72.9555461183378,4.5428643434508835,0,0
SWE,Sweden,2015,5.437399,Europe & Central Asia,49103.1334338706,52.8914985656738,100.0,25.1170961346531,4.691109206779157,0,1
CHE,Switzerland,2015,5.914449,Europe & Central Asia,66020.2043398841,23.9573993682861,100.0,50.1682254807986,4.819676864186155,0,1
TUR,Türkiye,2015,6.017152,Europe & Central Asia,25753.3905100464,13.3374004364014,100.0,86.843187660708,4.410834413294553,0,0
GBR,United Kingdom,2015,7.837874,Europe & Central Asia,42567.5917974837,8.58769989013672,100.0,80.3517712672552,4.629079081263632,0,0
USA,United States,2015,20.65523,North America,56863.3714957652,9.03390026092529,100.0,82.4278282452692,4.754832605945313,0,0
DZA,Algeria,2015,5.177589,Middle East & North Africa,12015.6329073378,0.0590000003576279,99.1868896484375,,4.079746651621407,0,0
ARG,Argentina,2015,7.907748,Latin America & Caribbean,20105.1989918165,9.3931999206543,99.8116836547852,,4.303308375903002,0,0
BLR,Belarus,2015,9.338513,Europe & Central Asia,18041.2425036167,6.82399988174438,100.0,,4.256266444175017,0,0
