iso3,country_name_ghg,year,ghg_per_capita,region,ghg_change_pct,ghg_change_abs
LIE,Liechtenstein,2015,5.279607,,-21.1,-1.13
MYS,Malaysia,2015,10.1734,,,
MDV,Maldives,2015,3.612897,,,
MLT,Malta,2015,4.82424,,-35.66,-2.336
MUS,Mauritius,2015,4.04746,,,
MDA,Moldova,2015,4.00439,,,
MCO,Monaco,2015,2.395645,,-34.6,-0.812
NAM,Namibia,2015,4.74826,,,
NPL,Nepal,2015,1.539005,,,
NGA,Nigeria,2015,1.524813,,,
PAN,Panama,2015,4.493486,,,
PER,Peru,2015,3.211313,,,
ROU,Romania,2015,5.878012,,-8.16,-0.482
RUS,Russia,2015,13.54438,,4.84,0.662
RWA,Rwanda,2015,0.8212945,,,
SRB,Serbia,2015,8.753469,,20.37,1.552
SGP,Singapore,2015,9.832285,,,
SLB,Solomon Islands,2015,0.8123034,,,
ZAF,South Africa,2015,9.035033,,,
UKR,Ukraine,2015,7.093762,,-23.14,-1.858
UZB,Uzbekistan,2015,5.430871,,,
VEN,Venezuela,2015,7.611277,,,
AUS,Australia,2022,19.98485,East Asia & Pacific,-12.36,-2.811
AUT,Austria,2022,8.110068,Europe & Central Asia,-16.71,-1.509
BEL,Belgium,2022,8.845402,Europe & Central Asia,-17.9,-1.829
CAN,Canada,2022,18.02878,North America,-15.83,-3.32
CHL,Chile,2022,5.679356,Latin America & Caribbean,,
CZE,Czechia,2022,10.72959,Europe & Central Asia,-20.76,-2.474
DNK,Denmark,2022,7.198875,Europe & Central Asia,-30.06,-2.819
EST,Estonia,2022,10.48012,Europe & Central Asia,-50.24,-8.021
FIN,Finland,2022,8.196082,Europe & Central Asia,-31.68,-3.399
FRA,France,2022,6.074304,Europe & Central Asia,-19.77,-1.393
DEU,Germany,2022,8.905058,Europe & Central Asia,-27.61,-3.032
GRC,Greece,2022,7.468909,Europe & Central Asia,-23.45,-2.151
HUN,Hungary,2022,6.167502,Europe & Central Asia,-6.62,-0.398
