iso3,country_name_ghg,year,ghg_per_capita,region,gdp_per_capita_ppp,renewable_pct,electricity_access_pct,fossil_fuel_pct
PRT,Portugal,2015,6.502329,Europe & Central Asia,29660.8960672526,27.2049999237061,100.0,77.024122555839
SVK,Slovak Republic,2015,7.453356,Europe & Central Asia,29919.6596714916,13.4084997177124,100.0,64.0914950988802
SVN,Slovenia,2015,8.179931,Europe & Central Asia,31628.247175832,20.8129005432129,100.0,61.114199486892
ESP,Spain,2015,7.110942,Europe & Central Asia,34903.1274779473,16.2985000610352,100.0,72.9555461183378
SWE,Sweden,2015,5.437399,Europe & Central Asia,49103.1334338706,52.8914985656738,100.0,25.1170961346531
CHE,Switzerland,2015,5.914449,Europe & Central Asia,66020.2043398841,23.9573993682861,100.0,50.1682254807986
TUR,Türkiye,2015,6.017152,Europe & Central Asia,25753.3905100464,13.3374004364014,100.0,86.843187660708
GBR,United Kingdom,2015,7.837874,Europe & Central Asia,42567.5917974837,8.58769989013672,100.0,80.3517712672552
USA,United States,2015,20.65523,North America,56863.3714957652,9.03390026092529,100.0,82.4278282452692
DZA,Algeria,2015,5.177589,Middle East & North Africa,12015.6329073378,0.0590000003576279,99.1868896484375,
ARG,Argentina,2015,7.907748,Latin America & Caribbean,20105.1989918165,9.3931999206543,99.8116836547852,
BLR,Belarus,2015,9.338513,Europe & Central Asia,18041.2425036167,6.82399988174438,100.0,
BRA,Brazil,2015,5.898276,,14744.1136344696,43.7406005859375,99.710902,
BRN,Brunei Darussalam,2015,26.25471,,62540.6252209261,0.0148999998345971,100.0,
BGR,Bulgaria,2015,8.418443,,18343.1107773187,17.8199005126953,100.0,
CIV,Côte d’Ivoire,2015,1.878543,,4652.88961920098,64.8336029052734,62.6,
HRV,Croatia,2015,5.916793,,23005.1011419416,33.1091003417969,100.0,
CUB,Cuba,2015,5.264931,,,20.0916996002197,98.6745452880859,
CYP,Cyprus,2015,6.822128,,31815.1397351446,10.5434999465942,100.0,
EGY,Egypt,2015,3.355361,,11512.4021442637,5.11600017547607,99.3,
GEO,Georgia,2015,4.87484,,12089.1694050447,28.1485004425049,100.0,
GHA,Ghana,2015,1.141843,,5005.0162850438,44.0498008728027,74.1710510253906,
GTM,Guatemala,2015,1.855356,,8194.44068126819,63.3911018371582,90.4963989257813,
GNB,Guinea-Bissau,2015,0.7274069,,1597.20425429364,87.1517028808594,20.1411075592041,
GUY,Guyana,2015,6.085563,,11198.3015858384,24.9480991363525,88.0877990722656,
VAT,Holy See,2015,30.24434,,,,,
IDN,Indonesia,2015,3.153344,,10247.2063381531,26.9519004821777,97.5373674369822,
